metric_name	type	labels	help	buckets	file
batch_exchange_recv_row_number	counter		Total number of row that have been received from upstream source		src/batch/src/monitor/stats.rs
batch_heartbeat_worker_num	gauge		Total number of heartbeat worker for batch tasks.		src/batch/src/monitor/stats.rs
batch_row_seq_scan_next_duration	histogram		Time spent deserializing into a row in cell based table.		src/batch/src/monitor/stats.rs
batch_spill_read_bytes	counter		Total bytes of requests read from spill files		src/batch/src/monitor/stats.rs
batch_spill_write_bytes	counter		Total bytes of requests write to spill files		src/batch/src/monitor/stats.rs
batch_task_num	gauge		Number of batch task in memory		src/batch/src/monitor/stats.rs
compute_batch_total_mem	gauge		Total number of memory usage for batch tasks.		src/batch/src/monitor/stats.rs
user_compute_error_cnt	counter	error_type,executor_name,fragment_id	Compute errors in the system, queryable by tags		src/common/metrics/src/error_metrics.rs
user_sink_error_cnt	counter	error_type,sink_id,sink_name,fragment_id	Sink errors in the system, queryable by tags		src/common/metrics/src/error_metrics.rs
user_source_error_cnt	counter	error_type,source_id,source_name,fragment_id	Source errors in the system, queryable by tags		src/common/metrics/src/error_metrics.rs
aws_sdk_retry_counts	counter		Total number of aws sdk retry happens		src/common/metrics/src/lib.rs
connection_count	gauge	connection_type,uri	The number of current existing connection		src/common/metrics/src/monitor/connection.rs
connection_create_rate	counter	connection_type,uri	Rate on creating new connection		src/common/metrics/src/monitor/connection.rs
connection_err_rate	counter	connection_type,uri	Error rate on creating new connection		src/common/metrics/src/monitor/connection.rs
connection_io_err_rate	counter	connection_type,uri,op_type,error_kind	IO err rate of a connection		src/common/metrics/src/monitor/connection.rs
connection_read_rate	counter	connection_type,uri	Read rate of a connection		src/common/metrics/src/monitor/connection.rs
connection_reader_count	gauge	connection_type,uri	The number of current existing reader		src/common/metrics/src/monitor/connection.rs
connection_write_rate	counter	connection_type,uri	Write rate of a connection		src/common/metrics/src/monitor/connection.rs
connection_writer_count	gauge	connection_type,uri	The number of current existing writer		src/common/metrics/src/monitor/connection.rs
process_cpu_core_num	gauge		Cpu core num.		src/common/metrics/src/monitor/process.rs
process_cpu_seconds_total	counter		Total user and system CPU time spent in seconds.		src/common/metrics/src/monitor/process.rs
process_resident_memory_bytes	gauge		Resident memory size in bytes.		src/common/metrics/src/monitor/process.rs
process_virtual_memory_bytes	gauge		Virtual memory size in bytes.		src/common/metrics/src/monitor/process.rs
backfill_rate_limit_bytes	gauge	table_id	backfill rate limit bytes per second		src/common/rate_limit/src/lib.rs
stream_exchange_frag_send_size	counter	up_fragment_id,down_fragment_id	Total size of messages that have been send to downstream Fragment		src/compute/src/rpc/service/stream_exchange_service/metrics.rs
connector_sink_rows_received	counter	actor_id,connector_type,sink_id,sink_name	Number of rows received by sink		src/connector/src/sink/mod.rs
iceberg_partition_num	gauge	actor_id,sink_id,sink_name	The partition num of iceberg partition writer		src/connector/src/sink/mod.rs
iceberg_position_delete_cache_num	gauge	actor_id,sink_id,sink_name	The delete cache num of iceberg position delete writer		src/connector/src/sink/mod.rs
iceberg_rolling_unflushed_data_file	gauge	actor_id,sink_id,sink_name	The unflushed data file count of iceberg rolling writer		src/connector/src/sink/mod.rs
iceberg_snapshot_num	gauge	sink_name,catalog_name,table_name	The snapshot number of iceberg table		src/connector/src/sink/mod.rs
iceberg_write_bytes	counter	actor_id,sink_id,sink_name	The write bytes of iceberg writer		src/connector/src/sink/mod.rs
iceberg_write_latency	histogram	actor_id,sink_id,sink_name	The latency of iceberg writer		src/connector/src/sink/mod.rs
iceberg_write_qps	counter	actor_id,sink_id,sink_name	The qps of iceberg writer		src/connector/src/sink/mod.rs
log_store_first_write_epoch	gauge	actor_id,sink_id,sink_name	The first write epoch of log store		src/connector/src/sink/mod.rs
log_store_latest_read_epoch	gauge	actor_id,connector,sink_id,sink_name	The latest read epoch of log store		src/connector/src/sink/mod.rs
log_store_latest_write_epoch	gauge	actor_id,sink_id,sink_name	The latest write epoch of log store		src/connector/src/sink/mod.rs
log_store_read_bytes	counter	actor_id,connector,sink_id,sink_name	Total size of chunks read by log reader		src/connector/src/sink/mod.rs
log_store_read_rows	counter	actor_id,connector,sink_id,sink_name	The read rate of rows		src/connector/src/sink/mod.rs
log_store_reader_wait_new_future_duration_ns	counter	actor_id,connector,sink_id,sink_name	Accumulated duration of LogReader to wait for next call to create future		src/connector/src/sink/mod.rs
log_store_write_rows	counter	actor_id,sink_id,sink_name	The write rate of rows		src/connector/src/sink/mod.rs
sink_commit_duration	histogram	actor_id,connector,sink_id,sink_name	Duration of commit op in sink		src/connector/src/sink/mod.rs
iceberg_read_bytes	counter	table_name	Total size of iceberg read requests		src/connector/src/source/iceberg/metrics.rs
iceberg_source_delete_files_per_data_file	histogram	source_id,source_name,table_name	Number of delete files attached per data file scan task		src/connector/src/source/iceberg/metrics.rs
iceberg_source_delete_rows_applied_total	counter	table_name,delete_type	Total rows removed by delete processing		src/connector/src/source/iceberg/metrics.rs
iceberg_source_file_read_duration_seconds	histogram	table_name	Per-file read duration		src/connector/src/source/iceberg/metrics.rs
iceberg_source_files_discovered_total	counter	source_id,source_name,table_name,file_type	Total number of files discovered per scan		src/connector/src/source/iceberg/metrics.rs
iceberg_source_files_read_total	counter	table_name,file_type	Total files read from Iceberg source		src/connector/src/source/iceberg/metrics.rs
iceberg_source_inflight_file_count	gauge	source_id,source_name,table_name	Number of files currently being fetched by the active reader		src/connector/src/source/iceberg/metrics.rs
iceberg_source_list_duration_seconds	histogram	source_id,source_name,table_name	Time spent planning files from a snapshot		src/connector/src/source/iceberg/metrics.rs
iceberg_source_rows_read_total	counter	table_name	Total rows read from Iceberg source		src/connector/src/source/iceberg/metrics.rs
iceberg_source_scan_errors_total	counter	source_id,source_name,table_name,error_type	Total number of scan errors categorized by error type		src/connector/src/source/iceberg/metrics.rs
iceberg_source_snapshot_lag_seconds	gauge	source_id,source_name,table_name	Lag between latest available snapshot and last ingested snapshot in seconds		src/connector/src/source/iceberg/metrics.rs
iceberg_source_snapshots_discovered_total	counter	source_id,source_name,table_name	Total number of snapshots discovered via incremental scan		src/connector/src/source/iceberg/metrics.rs
rdkafka_<PATH>_avg	gauge	id,client_id,broker,topic	Average value		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_cnt	gauge	id,client_id,broker,topic	Count of values		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_hdrsize	gauge	id,client_id,broker,topic	Size of the histogram header		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_max	gauge	id,client_id,broker,topic	Maximum value		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_min	gauge	id,client_id,broker,topic	Minimum value		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_out_of_range	gauge	id,client_id,broker,topic	Out of range values		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_p50	gauge	id,client_id,broker,topic	50th percentile		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_p75	gauge	id,client_id,broker,topic	75th percentile		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_p90	gauge	id,client_id,broker,topic	90th percentile		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_p95	gauge	id,client_id,broker,topic	95th percentile		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_p99	gauge	id,client_id,broker,topic	99th percentile		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_p99_99	gauge	id,client_id,broker,topic	99.99th percentile		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_stddev	gauge	id,client_id,broker,topic	Standard deviation		src/connector/src/source/kafka/stats.rs
rdkafka_<PATH>_sum	gauge	id,client_id,broker,topic	Sum of values		src/connector/src/source/kafka/stats.rs
rdkafka_broker_buf_grow	gauge	id,client_id,broker,state	Number of times the broker's input buffer has been reallocated		src/connector/src/source/kafka/stats.rs
rdkafka_broker_connects	gauge	id,client_id,broker,state	Number of connection attempts		src/connector/src/source/kafka/stats.rs
rdkafka_broker_disconnects	gauge	id,client_id,broker,state	Number of disconnects		src/connector/src/source/kafka/stats.rs
rdkafka_broker_outbuf_cnt	gauge	id,client_id,broker,state	Number of messages waiting to be sent to broker		src/connector/src/source/kafka/stats.rs
rdkafka_broker_outbuf_msg_cnt	gauge	id,client_id,broker,state	Number of messages waiting to be sent to broker		src/connector/src/source/kafka/stats.rs
rdkafka_broker_req	gauge	id,client_id,broker,state,type	Number of requests in flight		src/connector/src/source/kafka/stats.rs
rdkafka_broker_req_timeouts	gauge	id,client_id,broker,state	Number of request timeouts		src/connector/src/source/kafka/stats.rs
rdkafka_broker_rx	gauge	id,client_id,broker,state	Number of received messages		src/connector/src/source/kafka/stats.rs
rdkafka_broker_rx_bytes	gauge	id,client_id,broker,state	Number of received bytes		src/connector/src/source/kafka/stats.rs
rdkafka_broker_rx_corriderrs	gauge	id,client_id,broker,state	Number of received messages with invalid correlation id		src/connector/src/source/kafka/stats.rs
rdkafka_broker_rx_errs	gauge	id,client_id,broker,state	Number of failed received messages		src/connector/src/source/kafka/stats.rs
rdkafka_broker_rx_idle	gauge	id,client_id,broker,state	Number of idle receive connections		src/connector/src/source/kafka/stats.rs
rdkafka_broker_rx_partial	gauge	id,client_id,broker,state	Number of partial messages received		src/connector/src/source/kafka/stats.rs
rdkafka_broker_state_age	gauge	id,client_id,broker,state	Age of the broker state in seconds		src/connector/src/source/kafka/stats.rs
rdkafka_broker_tx	gauge	id,client_id,broker,state	Number of transmitted messages		src/connector/src/source/kafka/stats.rs
rdkafka_broker_tx_bytes	gauge	id,client_id,broker,state	Number of transmitted bytes		src/connector/src/source/kafka/stats.rs
rdkafka_broker_tx_errs	gauge	id,client_id,broker,state	Number of failed transmitted messages		src/connector/src/source/kafka/stats.rs
rdkafka_broker_tx_idle	gauge	id,client_id,broker,state	Number of idle transmit connections		src/connector/src/source/kafka/stats.rs
rdkafka_broker_tx_retries	gauge	id,client_id,broker,state	Number of message retries		src/connector/src/source/kafka/stats.rs
rdkafka_broker_waitresp_cnt	gauge	id,client_id,broker,state	Number of requests waiting for response		src/connector/src/source/kafka/stats.rs
rdkafka_broker_waitresp_msg_cnt	gauge	id,client_id,broker,state	Number of messages waiting for response		src/connector/src/source/kafka/stats.rs
rdkafka_broker_wakeups	gauge	id,client_id,broker,state	Number of wakeups		src/connector/src/source/kafka/stats.rs
rdkafka_broker_zbuf_grow	gauge	id,client_id,broker,state	Number of times the broker's output buffer has been reallocated		src/connector/src/source/kafka/stats.rs
rdkafka_consumer_group_assignment_size	gauge	id,client_id,state	Number of assigned partitions		src/connector/src/source/kafka/stats.rs
rdkafka_consumer_group_rebalance_age	gauge	id,client_id,state	Age of the last rebalance in seconds		src/connector/src/source/kafka/stats.rs
rdkafka_consumer_group_rebalance_cnt	gauge	id,client_id,state	Number of rebalances		src/connector/src/source/kafka/stats.rs
rdkafka_consumer_group_state_age	gauge	id,client_id,state	Age of the consumer group state in seconds		src/connector/src/source/kafka/stats.rs
rdkafka_top_age	gauge	id,client_id	Age of the topic metadata in milliseconds		src/connector/src/source/kafka/stats.rs
rdkafka_top_metadata_cache_cnt	gauge	id,client_id	Number of entries in the metadata cache		src/connector/src/source/kafka/stats.rs
rdkafka_top_msg_cnt	gauge	id,client_id	Number of messages in all topics		src/connector/src/source/kafka/stats.rs
